Roll,Pitch,Heading,Temperature,Pressure,Sea Level Pressure,Altitude,Corrected Altitude,Packet RSSI,Packet SNR
-4.40,-1.50,44.00,25.00,509.23,541.11,509.40,488.32,-43,9.50
-4.50,-1.50,44.00,25.00,509.23,541.11,509.40,488.32,-43,9.75
-4.50,-1.50,44.00,25.00,509.23,541.11,509.40,488.32,-43,9.75
-5.10,-1.50,42.00,25.00,509.23,541.11,509.40,488.32,-43,9.75
-6.40,-1.30,35.00,25.00,509.23,541.11,509.40,488.32,-42,9.75
-6.90,-1.30,32.00,25.00,509.24,541.11,509.23,488.16,-42,12.75
-6.70,-1.40,30.00,25.00,509.24,541.11,509.23,488.16,-42,10.25
-6.10,-0.40,42.00,25.00,509.24,541.11,509.23,488.16,-42,10.75
-7.00,-0.70,34.00,25.00,509.24,541.11,509.23,488.16,-42,10.25
-6.30,-0.80,40.00,25.00,509.22,541.11,509.56,488.47,-42,10.00
-7.80,-0.90,28.00,25.00,509.22,541.11,509.56,488.47,-41,9.75
-7.10,-1.10,32.00,25.00,509.22,541.11,509.56,488.47,-42,9.50
-7.00,-0.50,32.00,25.00,509.22,541.11,509.56,488.47,-42,9.75
-7.00,-1.00,32.00,25.00,509.23,541.11,509.40,488.32,-42,10.25
-4.80,-1.40,31.00,25.00,509.23,541.11,509.40,488.32,-42,9.75
9.60,-1.10,30.00,25.00,509.23,541.11,509.40,488.32,-41,9.75
14.80,-1.40,30.00,25.00,509.23,541.11,509.40,488.32,-42,9.50
16.50,-1.90,30.00,25.00,509.24,541.11,509.23,488.16,-41,10.25
-8.30,-0.50,26.00,25.00,509.24,541.11,509.23,488.16,-40,10.00
-16.40,-0.10,24.00,25.00,509.24,541.11,509.23,488.16,-40,10.75
5.80,-2.80,25.00,25.00,509.24,541.11,509.23,488.16,-41,10.50
12.00,-2.60,24.00,25.00,509.23,541.11,509.40,488.32,-41,9.50
1.50,-2.50,24.00,25.00,509.23,541.11,509.40,488.32,-41,9.50
-5.90,-3.50,24.00,25.00,509.23,541.11,509.40,488.32,-38,9.75
-6.00,-3.40,24.00,25.00,509.23,541.11,509.40,488.32,-37,9.25
-6.00,-3.40,24.00,25.00,509.23,541.11,509.40,488.32,-37,9.25
-6.00,-3.40,24.00,25.00,509.24,541.11,509.23,488.16,-42,12.50
-6.00,-3.40,24.00,25.00,509.24,541.11,509.23,488.16,-40,10.00
-6.00,-3.40,24.00,25.00,509.24,541.11,509.23,488.16,-41,10.25
-6.00,-3.40,24.00,25.00,509.24,541.11,509.23,488.16,-41,10.25
-6.00,-3.40,24.00,25.00,509.24,541.11,509.23,488.16,-40,10.00
-6.10,-3.40,24.00,25.00,509.23,541.11,509.40,488.32,-40,9.50
-6.10,-3.40,24.00,25.00,509.23,541.11,509.40,488.32,-40,9.75
-6.10,-3.40,24.00,25.00,509.23,541.11,509.40,488.32,-40,10.00
-6.10,-3.40,24.00,25.00,509.23,541.11,509.40,488.32,-40,9.75
-6.10,-3.40,24.00,25.00,509.24,541.11,509.23,488.16,-40,10.00
-6.10,-3.40,24.00,25.00,509.24,541.11,509.23,488.16,-37,10.25
-6.20,-3.40,24.00,25.00,509.24,541.11,509.23,488.16,-40,9.75
-6.60,-3.40,24.00,25.00,509.24,541.11,509.23,488.16,-41,10.75
-6.80,-3.60,23.00,25.00,509.21,541.11,509.73,488.63,-40,10.00
-6.80,-3.60,23.00,25.00,509.21,541.11,509.73,488.63,-40,10.00
-3.30,-18.30,10.00,25.00,509.21,541.11,509.73,488.63,-40,10.00
-1.80,-34.50,0.00,25.00,509.21,541.11,509.73,488.63,-38,9.75
-2.60,-32.70,356.00,25.00,509.21,541.11,509.73,488.63,-37,10.00
-3.10,-32.00,356.00,25.00,509.21,541.11,509.73,488.63,-37,10.00
-9.00,-24.20,1.00,25.00,509.21,541.11,509.73,488.63,-39,10.25
-9.60,-5.70,11.00,25.00,509.21,541.11,509.73,488.63,-40,9.50
-5.30,3.10,8.00,25.00,509.21,541.11,509.73,488.63,-41,10.25
-8.00,18.30,6.00,25.00,509.21,541.11,509.73,488.63,-41,10.50
-7.20,19.00,9.00,25.00,509.21,541.11,509.73,488.63,-41,10.25
-7.20,19.00,9.00,25.00,509.21,541.11,509.73,488.63,-41,10.25
-7.70,16.60,8.00,25.00,509.21,541.11,509.73,488.63,-40,10.00
-7.00,17.10,8.00,25.00,509.21,541.11,509.73,488.63,-41,10.00
-7.70,17.40,9.00,25.00,509.24,541.11,509.23,488.16,-41,10.50
-8.00,18.60,9.00,25.00,509.24,541.11,509.23,488.16,-41,10.25
-8.00,19.50,9.00,25.00,509.24,541.11,509.23,488.16,-42,11.00
-8.90,29.30,6.00,25.00,509.24,541.11,509.23,488.16,-42,10.25
-7.80,34.60,5.00,25.00,509.22,541.11,509.56,488.47,-42,10.00
-7.60,35.60,5.00,25.00,509.22,541.11,509.56,488.47,-42,9.75
-7.50,35.70,5.00,25.00,509.22,541.11,509.56,488.47,-42,10.00
-7.50,35.70,5.00,25.00,509.22,541.11,509.56,488.47,-42,10.00
-7.30,35.30,5.00,25.00,509.22,541.11,509.56,488.47,-42,9.50
-7.10,35.20,6.00,25.10,509.24,541.11,509.23,488.16,-42,10.00
-7.20,35.30,7.00,25.10,509.24,541.11,509.23,488.16,-42,10.50
-7.00,35.60,7.00,25.10,509.24,541.11,509.23,488.16,-42,10.50
-7.00,35.60,7.00,25.10,509.24,541.11,509.23,488.16,-42,10.50
-6.90,35.50,7.00,25.10,509.24,541.11,509.23,488.16,-42,10.00
-6.90,35.40,7.00,25.10,509.24,541.11,509.23,488.16,-42,10.25
-6.70,35.00,7.00,25.10,509.24,541.11,509.23,488.16,-42,10.75
-6.70,34.40,8.00,25.10,509.24,541.11,509.23,488.16,-42,9.75
-7.10,30.00,10.00,25.10,509.24,541.11,509.23,488.16,-43,10.25
-3.80,18.00,12.00,25.10,509.24,541.11,509.23,488.16,-42,10.50
-3.80,19.00,12.00,25.10,509.24,541.11,509.23,488.16,-42,10.00
-4.00,18.40,12.00,25.10,509.24,541.11,509.23,488.16,-42,10.00
-3.80,18.40,12.00,25.10,509.24,541.11,509.23,488.16,-42,10.25
-5.30,13.30,14.00,25.10,509.23,541.11,509.40,488.32,-42,10.00
-7.00,5.30,14.00,25.10,509.23,541.11,509.40,488.32,-40,9.50
-8.90,0.90,14.00,25.10,509.23,541.11,509.40,488.32,-40,9.75
-7.60,-0.80,14.00,25.10,509.23,541.11,509.40,488.32,-40,10.00
-6.70,-0.70,14.00,25.10,509.23,541.11,509.40,488.32,-40,10.00
-6.30,8.10,13.00,25.10,509.23,541.11,509.40,488.32,-42,10.00
-8.10,9.80,14.00,25.10,509.23,541.11,509.40,488.32,-42,9.75
-8.10,9.80,14.00,25.10,509.23,541.11,509.40,488.32,-42,9.75
-7.80,7.50,14.00,25.10,509.23,541.11,509.40,488.32,-41,9.50
-7.10,7.10,16.00,25.10,509.22,541.11,509.56,488.47,-41,9.75
-7.00,6.80,15.00,25.10,509.22,541.11,509.56,488.47,-41,9.50
-6.80,6.80,15.00,25.10,509.22,541.11,509.56,488.47,-41,10.00
-6.80,6.60,16.00,25.10,509.22,541.11,509.56,488.47,-41,10.00
-6.80,6.60,16.00,25.10,509.22,541.11,509.56,488.47,-41,10.00
-6.80,6.40,16.00,25.10,509.24,541.11,509.23,488.16,-40,10.25
-6.80,6.30,16.00,25.10,509.24,541.11,509.23,488.16,-41,10.00
-6.80,6.20,16.00,25.10,509.24,541.11,509.23,488.16,-40,10.25
-6.80,6.20,16.00,25.10,509.24,541.11,509.23,488.16,-40,10.25
-6.70,6.10,16.00,25.10,509.24,541.11,509.23,488.16,-40,10.00
-6.80,6.00,16.00,25.10,509.22,541.11,509.56,488.47,-41,9.75
-6.80,6.00,16.00,25.10,509.22,541.11,509.56,488.47,-41,9.75
-6.80,5.90,16.00,25.10,509.22,541.11,509.56,488.47,-41,9.75
-6.60,5.90,16.00,25.10,509.22,541.11,509.56,488.47,-41,10.00
-6.60,5.80,16.00,25.10,509.23,541.11,509.40,488.32,-40,9.50
-6.70,5.70,16.00,25.10,509.23,541.11,509.40,488.32,-41,9.75
-6.60,5.70,16.00,25.10,509.23,541.11,509.40,488.32,-41,9.75
-6.70,5.70,16.00,25.10,509.23,541.11,509.40,488.32,-41,9.50
-6.60,5.70,16.00,25.10,509.22,541.11,509.56,488.47,-41,9.50
-6.60,5.70,16.00,25.10,509.22,541.11,509.56,488.47,-41,9.75
-6.70,5.50,16.00,25.10,509.22,541.11,509.56,488.47,-41,9.50
-6.60,5.60,16.00,25.10,509.22,541.11,509.56,488.47,-41,9.50
-6.60,5.60,16.00,25.10,509.24,541.11,509.23,488.16,-40,10.00
-6.60,5.50,16.00,25.10,509.24,541.11,509.23,488.16,-40,10.00
-6.60,5.50,16.00,25.10,509.24,541.11,509.23,488.16,-40,10.25
-6.60,5.40,16.00,25.10,509.24,541.11,509.23,488.16,-40,9.75
-6.60,5.30,16.00,25.10,509.24,541.11,509.23,488.16,-40,10.00
-6.60,5.30,16.00,25.10,509.24,541.11,509.23,488.16,-40,10.00
-6.60,5.30,16.00,25.10,509.24,541.11,509.23,488.16,-40,10.00
-6.60,5.30,16.00,25.10,509.24,541.11,509.23,488.16,-40,10.25
-6.80,4.90,16.00,25.10,509.24,541.11,509.23,488.16,-40,10.25
-6.60,4.80,16.00,25.10,509.23,541.11,509.40,488.32,-41,9.75
-6.50,5.00,16.00,25.10,509.23,541.11,509.40,488.32,-41,9.75
-6.60,5.00,16.00,25.10,509.23,541.11,509.40,488.32,-41,9.75
-6.50,5.00,16.00,25.10,509.23,541.11,509.40,488.32,-41,9.75
-6.50,5.00,16.00,25.10,509.23,541.11,509.40,488.32,-41,9.75
-6.60,4.90,16.00,25.10,509.25,541.11,509.07,488.00,-40,9.75
-6.50,4.90,16.00,25.10,509.25,541.11,509.07,488.00,-41,9.25
-6.60,4.80,16.00,25.10,509.25,541.11,509.07,488.00,-40,10.00
-8.10,1.50,15.00,25.10,509.25,541.11,509.07,488.00,-40,10.00
-6.60,-5.50,14.00,25.10,509.24,541.11,509.23,488.16,-42,10.50
-6.30,-5.60,14.00,25.10,509.24,541.11,509.23,488.16,-40,10.25
-6.30,-5.60,14.00,25.10,509.24,541.11,509.23,488.16,-38,10.75
-6.30,-5.60,14.00,25.10,509.24,541.11,509.23,488.16,-38,10.75
-6.30,-5.60,14.00,25.10,509.24,541.11,509.23,488.16,-38,10.00
-6.30,-5.60,14.00,25.10,509.22,541.11,509.56,488.47,-37,9.50
-6.30,-5.60,14.00,25.10,509.22,541.11,509.56,488.47,-37,9.50
-6.30,-5.60,14.00,25.10,509.22,541.11,509.56,488.47,-38,9.75
-6.30,-5.60,14.00,25.10,509.22,541.11,509.56,488.47,-37,9.25
-6.30,-5.60,14.00,25.10,509.22,541.11,509.56,488.47,-37,9.25
-6.30,-5.60,14.00,25.10,509.25,541.11,508.91,487.84,-38,10.00
-6.30,-5.60,14.00,25.10,509.25,541.11,508.91,487.84,-37,9.50
-6.30,-5.60,14.00,25.10,509.25,541.11,508.91,487.84,-38,9.50
-6.30,-5.60,14.00,25.10,509.25,541.11,508.91,487.84,-37,9.25
-6.30,-5.60,14.00,25.10,509.23,541.11,509.40,488.32,-37,9.50
-6.30,-5.60,14.00,25.10,509.23,541.11,509.40,488.32,-37,9.50
-6.30,-5.60,14.00,25.10,509.23,541.11,509.40,488.32,-37,9.75
-6.30,-5.60,14.00,25.10,509.23,541.11,509.40,488.32,-37,9.50
-6.30,-5.60,14.00,25.10,509.23,541.11,509.40,488.32,-38,9.50
-6.30,-5.60,14.00,25.10,509.25,541.11,509.07,488.00,-37,9.75
-6.30,-5.60,14.00,25.10,509.25,541.11,509.07,488.00,-38,9.50
-6.30,-5.60,14.00,25.10,509.25,541.11,509.07,488.00,-37,9.50
-6.30,-5.60,14.00,25.10,509.25,541.11,509.07,488.00,-37,9.25
-6.30,-5.60,14.00,25.10,509.25,541.11,509.07,488.00,-38,9.50
-6.30,-5.60,14.00,25.10,509.25,541.11,509.07,488.00,-38,9.75
-6.30,-5.60,14.00,25.10,509.25,541.11,509.07,488.00,-37,9.75
-6.30,-5.60,14.00,25.10,509.25,541.11,509.07,488.00,-38,9.50
-6.30,-5.60,14.00,25.10,509.25,541.11,509.07,488.00,-37,9.50
-6.30,-5.60,14.00,25.10,509.25,541.11,509.07,488.00,-37,9.75
-6.30,-5.60,14.00,25.10,509.25,541.11,509.07,488.00,-37,9.50
